rpoC
rpoB
acnB
purL
gltB
aceE
adhE
tufA
metE
groL
carB
pflB
dnaK
ilvC
infB
ppc
fusA
alaS
glyS
maeB
rpsA
leuS
thrA
sucA
ileS
aldA
aceF
dppA
pheT
aspS
valS
secA
icd
atpD
gyrA
katG
pepN
aceA
pykF
putA
fumA
tsf
ptsI
htpG
argG
katE
glpK
tig
pgi
pnp
pta
bamA
sdhA
acs
ppsA
guaA
lon
mukB
pgk
oppA
glyA
aceB
rne
yjjK
ftsZ
gyrB
thrS
gdhA
nuoG
gapA
purH
acnA
polA
tnaA
nuoC
cysI
gltA
glnA
aldB
leuA
glcB
dld
ompA
atpA
rplB
proS
glmS
iscS
prlC
nrdA
ahpF
glpD
guaB
rho
ftsH
metK
cysJ
mdh
livJ
gnd
rpoA
nusA
copA
mglB
lysS
metG
metH
cysK
fbaA
ydgA
typA
fhuA
ppiD
rnb
glnS
lpdA
talB
thrC
yeaG
pgm
pepA
fadB
prc
cysN
pyrB
yahK
asnS
serS
malE
ilvD
surA
rnr
ydiJ
rpsB
cirA
aspC
sucD
sucC
pyrC
ptsG
gltX
degP
argH
lptD
gatY
topA
asnB
argS
clpA
bglX
fabB
purA
pheS
clpX
gpmI
hslU
accC
fadE
pyrG
sdhB
trpE
gatZ
maeA
mfd
ilvB
gltD
fliY
serC
tolC
sucB
rplE
talA
pckA
zwf
accA
lysC
hflK
pdxB
plsB
cusA
xylA
tyrA
eno
ompT
argT
fepA
fiu
nadE
tktA
pepB
deoD
yqhD
ygfZ
dcp
pmbA
sthA
uvrA
prpC
ompF
rplA
rbsB
gltI
mtlA
hldD
mreB
acrA
fabI
argD
trpB
bamC
gor
purB
hisS
pfkA
gcvP
malP
lamB
entF
leuC
metL
nuoF
ompC
yncE
tpiA
rpsC
aroG
deoB
adk
manX
cysP
pykA
glmM
gabD
ndh
metF
speA
lepA
ffh
secD
lpoA
rhlB
rapA
yhgF
kbl
dps
rpsG
serA
asd
fbaB
pgl
rpsD
efeO
agp
kdsA
galU
minD
dacC
cyoA
purT
pepQ
mdoG
proA
btuB
yajO
gabT
prfC
pssA
corC
proB
yfhM
ggt
prpD
upp
rplC
prs
grpE
hisJ
pepD
dapD
ackA
udp
bfr
argE
phoP
aspA
atpG
ydgH
hisG
ilvI
glmU
pepP
fumC
cusB
deoA
bglA
ispG
pncB
fdoG
metQ
luxS
rpsF
rpsE
glnH
tktB
galF
dapB
mtlD
pntB
tyrS
hemL
pntA
dkgA
purD
map
gcd
recA
ghrB
yfbU
hldE
pyrD
yjgR
treA
tyrB
nagE
gshA
ligA
rfbB
miaB
srmB
murA
ubiE
dxs
tyrR
asnA
ilvA
rluC
gpmA
tabA
purC
ahpC
carA
deoC
sspA
bcp
tolB
trxB
codA
livK
acrB
crp
nusG
prfB
rpoD
trpA
galM
dacA
fabH
degQ
ychF
yceH
modA
ftsA
gcvT
hscA
ygiF
frsA
slt
deaD
aroF
thiI
glpA
yheS
malT
sodA
rplF
yeeX
potD
leuB
ydcL
artI
fabF
pfkB
wzzB
hisD
gmhA
fabG
ftsY
aroA
ydcS
folE
damX
acuI
dcrB
mlaC
hflC
manA
fbp
dnaJ
trpS
lysU
trpG
ugpB
hisC
yicC
gsiB
pheA
purR
cusC
prr
gpr
galE
glk
uvrB
tgt
galK
ycfP
dhaK
coaB
nadC
glf
ybiT
hsdM
oxyR
der
yegQ
mglA
crr
wrbA
ygaU
rpsH
infC
fkpA
uspE
atpH
frr
poxB
fabD
hslO
panB
panC
gshB
ushA
hisB
ybeZ
argB
sufD
ompR
fruB
